comment,rating,date_time
Love it!,2,2/9/2024
Awful,3,7/13/2021
Worth the buy,5,2/20/2022
Love it!,4,3/3/2021
Worth the buy,4,9/12/2021
Great quality,4,7/5/2023
Awful,1,12/13/2021
Worth the buy,5,11/24/2021
Poor customer service,4,11/17/2021
Poor customer service,3,6/22/2021
Awful,4,12/22/2022
Versatile,1,9/20/2022
Poor quality,3,9/21/2022
Highly recommend,1,5/26/2023
Love it!,5,6/6/2021
Great value,4,10/27/2023
Waste of Money,5,11/28/2021
Awful,5,12/18/2021
Highly recommend,5,7/17/2021
Awful,4,1/11/2024
Worth the buy,3,4/11/2021
Great quality,1,11/17/2022
Great quality,4,10/13/2023
Great value,1,11/5/2023
Poor quality,3,6/26/2023
Worth the buy,2,6/25/2021
Worth the buy,4,11/25/2022
Poor customer service,2,4/7/2022
Versatile,3,11/6/2023
Great value,2,10/24/2022
Poor customer service,2,8/23/2022
Poor customer service,4,12/5/2022
Great value,5,4/4/2022
Poor quality,5,9/7/2022
Poor customer service,4,2/6/2023
Great value,2,9/9/2022
Love it!,1,7/6/2021
Great value,4,3/14/2022
Waste of Money,5,12/3/2022
Versatile,2,6/5/2021
Poor quality,4,2/15/2022
Versatile,1,7/23/2023
Waste of Money,4,11/9/2023
Versatile,4,8/21/2023
Poor customer service,3,8/6/2022
Worth the buy,4,12/23/2023
Waste of Money,3,10/31/2021
Great value,3,8/21/2021
Versatile,4,2/14/2024
Versatile,3,5/22/2022
Awful,2,2/7/2024
Awful,4,5/31/2023
Worth the buy,2,7/18/2023
Worth the buy,2,1/25/2023
Poor quality,3,10/5/2022
Awful,1,2/11/2021
Great quality,5,11/14/2021
Great quality,4,8/26/2022
Versatile,3,4/4/2021
Love it!,4,12/29/2023
Awful,3,7/11/2022
Waste of Money,1,7/21/2021
Love it!,5,11/26/2021
Awful,4,7/10/2022
Highly recommend,1,2/4/2022
Great value,4,3/1/2021
Poor quality,1,10/20/2022
Poor customer service,1,1/31/2022
Great value,4,4/14/2023
Waste of Money,5,10/17/2021
Poor quality,3,5/7/2022
Highly recommend,5,11/22/2021
Love it!,1,5/22/2021
Love it!,3,5/30/2023
Versatile,4,1/22/2024
Versatile,3,11/12/2021
Love it!,2,4/29/2021
Worth the buy,5,4/1/2023
Love it!,2,12/12/2022
Worth the buy,1,11/23/2022
Poor customer service,2,4/9/2021
Waste of Money,3,9/7/2023
Poor customer service,2,8/27/2021
Waste of Money,1,2/19/2023
Great value,5,8/2/2023
Poor customer service,1,11/10/2023
Waste of Money,5,4/14/2021
Great quality,3,11/30/2021
Poor customer service,3,2/27/2022
Love it!,1,2/14/2021
Love it!,4,1/17/2022
Love it!,2,2/21/2021
Poor quality,1,7/21/2021
Awful,5,6/29/2022
Versatile,4,6/3/2022
Poor customer service,5,7/1/2021
Worth the buy,3,7/16/2021
Versatile,5,5/11/2022
Great value,3,2/4/2023
Poor customer service,1,6/11/2023
Awful,3,1/29/2024
Highly recommend,5,10/12/2021
Great value,1,2/4/2022
Poor customer service,1,3/28/2023
Poor customer service,1,2/26/2023
Highly recommend,3,6/30/2022
Great quality,1,2/13/2022
Poor quality,1,5/15/2022
Great quality,3,6/15/2022
Awful,4,12/15/2021
Waste of Money,3,5/16/2022
Great quality,1,10/2/2021
Poor quality,1,6/7/2021
Poor quality,5,4/19/2022
Great value,1,10/2/2023
Versatile,1,8/31/2023
Versatile,1,6/29/2021
Great quality,2,1/23/2024
Highly recommend,3,3/17/2022
Awful,5,4/17/2023
Love it!,5,2/17/2024
Great quality,1,10/11/2023
Awful,1,7/3/2023
Waste of Money,5,2/15/2024
Worth the buy,1,10/9/2021
Poor customer service,4,11/9/2021
Versatile,4,10/26/2023
Waste of Money,2,3/7/2021
Great value,5,6/2/2022
Versatile,5,5/30/2023
Love it!,5,2/24/2022
Great quality,2,8/5/2021
Love it!,1,10/6/2023
Poor customer service,5,6/9/2023
Great value,4,7/16/2023
Worth the buy,1,2/9/2023
Great quality,5,7/12/2023
Waste of Money,1,11/7/2022
Awful,1,2/3/2024
Awful,3,2/26/2024
Great quality,4,5/20/2021
Versatile,1,4/26/2021
Poor customer service,2,2/14/2023
Worth the buy,2,11/8/2023
Worth the buy,5,2/6/2023
Awful,5,2/22/2024
Poor quality,2,8/24/2021
Versatile,5,2/7/2021
Great quality,4,2/3/2021
Love it!,5,5/12/2022
Poor customer service,5,10/5/2021
Love it!,4,2/2/2021
Waste of Money,5,1/6/2023
Great quality,5,6/16/2023
Highly recommend,5,1/13/2023
Waste of Money,1,6/27/2023
Worth the buy,1,2/19/2021
Versatile,5,2/27/2022
Worth the buy,4,11/14/2022
Great value,4,1/21/2023
Worth the buy,1,5/18/2022
Great value,3,3/11/2023
Highly recommend,1,12/29/2023
Versatile,4,5/24/2021
Awful,2,7/1/2021
Great value,1,1/8/2022
Poor quality,5,6/1/2021
Great value,3,7/11/2021
Worth the buy,4,3/11/2021
Highly recommend,3,3/3/2021
Awful,2,12/1/2022
Highly recommend,2,6/20/2023
Awful,3,5/31/2022
Awful,2,2/24/2023
Waste of Money,3,8/23/2023
Great value,5,9/23/2022
Awful,1,12/8/2023
Awful,5,3/8/2022
Great value,2,4/3/2023
Great quality,3,2/19/2022
Worth the buy,5,8/18/2021
Awful,4,7/26/2021
Poor customer service,1,2/27/2023
Worth the buy,1,10/19/2022
Poor customer service,5,10/10/2023
Great quality,5,2/15/2023
Love it!,4,9/19/2023
Worth the buy,3,8/28/2022
Poor quality,2,7/22/2022
Highly recommend,2,12/27/2021
Versatile,1,7/27/2022
Highly recommend,3,12/3/2023
Love it!,5,1/17/2024
Great value,4,4/15/2022
Great quality,2,3/22/2021
Love it!,5,8/7/2021
Awful,3,5/16/2021
Great value,1,5/30/2022
Versatile,2,4/7/2023
Love it!,1,5/18/2021
Waste of Money,5,10/10/2023
Great quality,5,2/23/2022
Great value,3,4/27/2022
Awful,1,11/7/2022
Highly recommend,5,3/16/2021
Versatile,4,7/21/2022
Love it!,5,7/3/2022
Awful,5,7/28/2022
Waste of Money,1,4/27/2021
Awful,2,5/6/2021
Awful,3,7/2/2022
Great quality,5,2/3/2021
Love it!,4,9/16/2021
Versatile,4,6/7/2022
Love it!,2,2/17/2021
Waste of Money,3,9/25/2021
Great quality,5,2/8/2023
Worth the buy,2,3/16/2023
Highly recommend,2,4/23/2022
Versatile,3,5/7/2022
Waste of Money,4,4/12/2022
Worth the buy,1,2/25/2022
Poor customer service,2,12/8/2021
Poor customer service,4,5/27/2022
Waste of Money,3,1/20/2023
Great value,5,9/15/2022
Great value,5,4/14/2022
Highly recommend,4,10/22/2023
Poor quality,5,11/16/2023
Versatile,1,9/8/2022
Great quality,1,10/17/2022
Waste of Money,4,11/29/2022
Great value,2,8/31/2021
Love it!,1,2/12/2022
Great value,4,3/14/2023
Versatile,4,2/28/2022
Great quality,1,11/15/2022
Worth the buy,2,9/20/2021
Waste of Money,3,7/17/2023
Great value,4,12/28/2022
Poor customer service,5,12/9/2022
Waste of Money,4,3/25/2021
Great value,1,8/1/2022
Great quality,4,1/13/2024
Great quality,2,1/19/2022
Waste of Money,5,4/30/2023
Worth the buy,3,3/31/2021
Great value,3,2/14/2023
Great value,1,11/22/2022
Great value,4,5/4/2021
Waste of Money,5,8/7/2021
Awful,2,6/12/2022
Great quality,4,12/6/2022
Poor customer service,2,10/11/2022
Great value,3,6/3/2023
Poor quality,5,5/20/2023
Waste of Money,2,11/2/2022
Waste of Money,2,8/8/2022
Poor customer service,2,10/14/2021
Great quality,1,5/8/2022
Highly recommend,4,3/25/2022
Highly recommend,5,10/14/2023
Awful,2,2/7/2023
Love it!,2,1/20/2023
Waste of Money,4,8/16/2021
Waste of Money,4,2/1/2023
Great quality,3,12/19/2023
Waste of Money,5,7/28/2021
Great quality,1,4/21/2021
Poor quality,2,12/26/2022
Poor quality,1,7/16/2022
Poor quality,3,5/3/2023
Love it!,2,5/10/2022
Versatile,4,5/31/2022
Great value,2,4/8/2022
Poor customer service,1,7/8/2021
Awful,3,9/17/2022
Great value,2,11/25/2022
Waste of Money,5,7/13/2022
Poor quality,1,9/24/2021
Waste of Money,5,2/17/2023
Poor quality,4,9/24/2022
Poor quality,1,9/22/2021
Versatile,2,11/21/2022
Waste of Money,3,12/31/2021
Versatile,4,3/12/2021
Awful,1,9/18/2023
Great quality,4,7/9/2022
Versatile,5,6/24/2021
Poor customer service,2,11/7/2022
Awful,3,2/19/2022
Worth the buy,4,4/29/2021
Love it!,5,7/14/2022
Versatile,5,2/19/2022
Poor quality,3,1/26/2022
Love it!,3,8/24/2021
Waste of Money,5,6/11/2022
Worth the buy,2,1/17/2024
Love it!,5,1/15/2024
Poor quality,3,8/19/2023
Awful,2,5/4/2022
Great quality,1,10/22/2023
Great quality,4,1/13/2023
Great value,2,10/20/2023
Awful,1,8/5/2021
Great quality,3,5/8/2023
Love it!,4,5/3/2023
Waste of Money,5,11/8/2021
Worth the buy,5,10/11/2022
Waste of Money,5,7/28/2022
Waste of Money,5,8/27/2023
Great value,2,8/25/2021
Great value,4,4/12/2022
Awful,5,3/9/2023
Great quality,2,6/15/2023
Highly recommend,3,1/25/2024
Poor quality,5,2/10/2023
Waste of Money,5,9/22/2023
Poor customer service,2,7/11/2021
Great value,3,9/22/2021
Poor quality,4,7/3/2022
Worth the buy,1,6/12/2022
Great value,2,11/24/2023
Poor customer service,2,2/12/2023
Waste of Money,5,11/29/2022
Great quality,1,3/8/2021
Awful,1,8/11/2023
Great quality,3,5/21/2021
Great value,4,1/4/2024
Poor customer service,1,1/28/2023
Highly recommend,5,7/9/2023
Waste of Money,4,12/23/2023
Waste of Money,1,7/7/2021
Poor customer service,1,6/4/2022
Love it!,1,8/23/2022
Highly recommend,3,11/24/2022
Love it!,4,7/25/2022
Versatile,2,11/22/2021
Waste of Money,3,4/25/2023
Awful,1,3/16/2023
Awful,5,4/11/2021
Waste of Money,3,11/24/2023
Poor customer service,5,7/3/2022
Great quality,2,4/22/2023
Versatile,4,11/1/2022
Great quality,1,6/14/2022
Versatile,2,11/12/2023
Highly recommend,4,4/19/2021
Love it!,3,5/31/2023
Worth the buy,5,11/24/2022
Love it!,2,8/28/2023
Poor quality,4,9/21/2023
Waste of Money,2,4/10/2023
Worth the buy,4,7/27/2023
Awful,2,6/1/2021
Worth the buy,2,5/21/2023
Great quality,5,11/15/2021
Awful,1,12/13/2021
Great quality,5,10/9/2023
Poor customer service,5,9/4/2022
Highly recommend,1,7/25/2023
Highly recommend,1,5/21/2021
Waste of Money,3,4/16/2021
Versatile,3,10/29/2023
Versatile,5,10/22/2022
Highly recommend,3,12/9/2022
Awful,3,6/22/2023
Waste of Money,5,10/19/2021
Love it!,2,10/6/2021
Love it!,4,12/11/2022
Highly recommend,4,5/6/2021
Worth the buy,4,3/13/2023
Awful,5,1/22/2023
Waste of Money,1,3/24/2023
Awful,5,7/3/2021
Poor quality,2,10/25/2022
Awful,1,10/29/2021
Awful,4,11/17/2023
Awful,4,2/17/2021
Love it!,1,12/12/2023
Poor customer service,5,3/12/2022
Love it!,3,2/24/2021
Love it!,1,3/26/2023
Highly recommend,3,9/21/2023
Great value,3,8/27/2023
Great value,5,3/30/2022
Waste of Money,4,6/29/2022
Great quality,2,7/21/2021
Great value,5,11/27/2021
Love it!,3,4/5/2021
Poor quality,1,8/16/2021
Highly recommend,1,6/9/2023
Poor customer service,5,4/22/2023
Worth the buy,1,5/18/2021
Great value,2,8/1/2022
Versatile,5,5/4/2023
Love it!,1,10/30/2023
Love it!,2,12/23/2023
Waste of Money,1,5/9/2021
Worth the buy,2,8/13/2023
Versatile,4,6/4/2021
Versatile,5,10/10/2023
Great value,5,1/20/2023
Poor quality,5,7/20/2022
Versatile,3,1/11/2024
Great quality,4,12/6/2023
Poor customer service,5,4/23/2021
Great quality,1,3/15/2023
Poor quality,2,3/23/2022
Highly recommend,4,3/29/2022
Great quality,2,4/15/2023
Great value,3,7/14/2022
Great quality,5,4/25/2022
Great quality,1,8/23/2022
Awful,3,1/2/2024
Great value,2,6/4/2022
Love it!,1,2/12/2023
Highly recommend,4,7/25/2021
Awful,5,11/8/2022
Worth the buy,2,1/13/2022
Worth the buy,1,7/24/2021
Great quality,4,12/14/2023
Great value,1,4/23/2022
Waste of Money,2,10/26/2023
Waste of Money,2,4/16/2021
Awful,5,2/9/2022
Poor quality,1,2/17/2023
Poor quality,5,1/17/2023
Love it!,2,5/12/2022
Great value,3,8/30/2021
Great quality,5,4/20/2023
Versatile,4,10/23/2021
Love it!,3,3/31/2021
Highly recommend,4,8/17/2023
Great quality,5,7/31/2023
Versatile,4,11/20/2021
Poor customer service,3,6/20/2022
Great quality,1,3/28/2022
Love it!,2,4/26/2021
Great value,5,12/2/2022
Waste of Money,1,9/30/2021
Highly recommend,4,11/11/2021
Poor customer service,5,8/4/2021
Waste of Money,2,1/4/2024
Worth the buy,1,4/12/2023
Highly recommend,1,12/23/2021
Great value,1,1/24/2024
Poor customer service,1,5/4/2023
Highly recommend,1,11/26/2021
Highly recommend,2,11/16/2023
Highly recommend,1,1/26/2024
Waste of Money,5,11/19/2021
Worth the buy,2,10/7/2022
Great value,5,12/22/2023
Versatile,3,11/11/2023
Highly recommend,3,3/13/2022
Awful,4,6/21/2022
Highly recommend,1,6/9/2022
Highly recommend,4,2/10/2021
Worth the buy,4,4/24/2021
Worth the buy,4,4/27/2023
Poor quality,4,7/1/2022
Great value,3,11/29/2022
Worth the buy,2,8/1/2023
Poor quality,4,7/10/2022
Poor quality,1,5/28/2021
Poor quality,4,1/6/2023
Versatile,3,7/28/2023
Great value,4,11/4/2022
Waste of Money,3,5/21/2023
Poor customer service,1,3/4/2023
Great value,3,9/22/2023
Great value,4,1/23/2023
Worth the buy,2,12/9/2022
Highly recommend,1,6/1/2022
Versatile,4,4/17/2023
Awful,4,1/31/2023
Poor quality,4,6/25/2023
Highly recommend,3,2/25/2022
Highly recommend,2,11/4/2023
Versatile,5,2/8/2022
Highly recommend,2,3/6/2022
Waste of Money,4,5/9/2022
Poor quality,4,5/29/2021
Poor customer service,4,2/16/2022
Poor quality,4,6/22/2021
Great value,3,9/11/2022
Versatile,2,5/8/2023
Highly recommend,5,5/30/2023
Awful,1,5/24/2021
Versatile,4,3/20/2023
Worth the buy,5,11/22/2022
Waste of Money,2,11/26/2021
Poor quality,1,3/13/2022
Awful,1,12/11/2022
Great value,5,3/12/2022
Poor quality,2,5/3/2022
Worth the buy,3,4/29/2021
Love it!,4,9/19/2022
Awful,5,7/8/2023
Highly recommend,3,8/1/2022
Versatile,2,3/26/2023
Poor quality,2,12/19/2021
Versatile,3,10/5/2022
Highly recommend,5,5/6/2023
Poor quality,2,9/30/2022
Great quality,1,10/23/2023
Waste of Money,3,10/6/2021
Poor quality,3,5/13/2021
Worth the buy,2,11/17/2023
Love it!,3,11/7/2023
Poor customer service,3,3/25/2022
Awful,4,11/26/2021
Waste of Money,2,8/20/2023
Poor quality,1,2/11/2022
Great quality,3,3/18/2023
Awful,4,3/15/2021
Waste of Money,2,12/24/2022
Great quality,2,7/14/2023
Love it!,1,9/11/2023
Poor quality,5,12/5/2021
Poor quality,5,1/22/2024
Poor quality,5,2/10/2023
Great value,1,4/16/2022
Poor quality,4,6/5/2021
Versatile,1,10/4/2022
Worth the buy,2,12/16/2022
Poor customer service,4,5/1/2022
Awful,3,1/11/2024
Poor customer service,3,12/10/2021
Versatile,1,3/27/2023
Great value,2,10/28/2022
Great value,4,8/1/2022
Love it!,3,2/23/2024
Poor customer service,4,1/7/2023
Poor customer service,5,11/23/2023
Worth the buy,5,6/12/2022
Waste of Money,5,7/20/2022
Worth the buy,3,11/24/2022
Great quality,5,2/15/2024
Love it!,4,8/11/2021
Love it!,4,5/31/2021
Great quality,2,10/6/2023
Poor quality,4,2/10/2024
Poor quality,3,7/16/2022
Great quality,4,5/12/2022
Poor customer service,1,6/24/2023
Highly recommend,1,12/30/2022
Highly recommend,3,2/19/2022
Highly recommend,3,8/17/2023
Highly recommend,4,5/20/2023
Great value,4,2/5/2022
Worth the buy,1,12/28/2023
Worth the buy,1,2/28/2023
Love it!,4,10/11/2021
Great quality,4,12/14/2023
Worth the buy,5,2/11/2021
Poor customer service,1,4/3/2021
Great value,4,10/7/2021
Poor customer service,2,5/3/2022
Great quality,5,10/19/2021
Great value,5,9/21/2021
Great quality,1,10/23/2022
Great quality,2,12/31/2023
Poor customer service,3,1/23/2024
Highly recommend,2,1/16/2022
Worth the buy,4,5/11/2021
Versatile,1,3/13/2022
Poor quality,4,6/8/2022
Highly recommend,3,6/27/2021
Poor customer service,2,7/27/2023
Worth the buy,2,11/3/2022
Versatile,1,4/6/2021
Awful,3,4/29/2023
Versatile,4,6/21/2021
Poor quality,2,8/23/2023
Awful,3,10/6/2023
Waste of Money,2,4/11/2021
Highly recommend,5,9/25/2022
Highly recommend,4,1/6/2024
Great value,5,7/24/2021
Awful,1,6/21/2023
Great quality,2,4/24/2021
Versatile,2,5/29/2023
Poor customer service,4,8/23/2022
Awful,2,3/20/2022
Poor quality,1,5/23/2021
Versatile,1,10/18/2023
Worth the buy,4,5/26/2023
Poor quality,5,3/8/2023
Great value,1,10/10/2023
Waste of Money,2,3/27/2021
Awful,2,7/26/2023
Poor customer service,5,3/27/2021
Waste of Money,4,10/22/2023
Awful,5,5/16/2021
Versatile,4,9/25/2023
Awful,5,9/5/2021
Great value,4,5/23/2022
Poor customer service,5,1/1/2023
Awful,3,10/30/2023
Versatile,5,7/6/2023
Great value,5,3/5/2022
Great quality,4,7/21/2023
Waste of Money,2,10/13/2022
Versatile,1,8/12/2021
Awful,1,5/15/2021
Awful,3,5/30/2023
Great quality,4,2/8/2022
Great value,4,9/17/2023
Poor quality,2,8/25/2021
Love it!,5,7/25/2023
Waste of Money,4,6/2/2023
Awful,4,5/24/2021
Worth the buy,2,11/9/2021
Great value,3,5/14/2022
Highly recommend,2,7/24/2021
Worth the buy,1,2/19/2022
Love it!,5,6/12/2021
Love it!,1,7/24/2021
Poor quality,3,1/11/2022
Great value,1,2/13/2024
Great value,3,6/24/2021
Poor customer service,5,12/28/2023
Highly recommend,2,9/12/2022
Versatile,3,11/24/2023
Poor customer service,4,7/29/2022
Worth the buy,3,3/9/2022
Waste of Money,2,6/20/2022
Highly recommend,3,5/22/2021
Great quality,4,4/10/2023
Waste of Money,2,6/10/2022
Worth the buy,5,4/30/2023
Highly recommend,2,5/28/2022
Awful,1,10/11/2021
Poor quality,5,11/1/2022
Awful,3,1/9/2022
Poor customer service,4,10/4/2021
Versatile,4,8/20/2023
Waste of Money,5,5/31/2022
Waste of Money,1,11/29/2022
Versatile,5,6/28/2022
Love it!,2,11/20/2022
Great value,4,6/23/2021
Poor quality,5,6/13/2023
Great value,5,5/27/2023
Worth the buy,5,2/15/2023
Great quality,1,3/29/2021
Highly recommend,2,8/24/2023
Poor quality,1,2/11/2024
Poor customer service,5,11/14/2022
Great quality,3,4/28/2021
Poor customer service,2,6/5/2021
Awful,1,7/7/2022
Poor quality,5,2/23/2024
Great value,2,8/24/2022
Poor quality,2,3/9/2023
Highly recommend,4,5/5/2022
Versatile,4,9/15/2022
Awful,5,11/3/2022
Love it!,5,1/3/2022
Love it!,3,4/3/2021
Poor quality,4,5/1/2021
Great value,2,6/24/2021
Waste of Money,3,2/4/2024
Versatile,1,1/24/2022
Love it!,4,7/1/2022
Awful,2,7/31/2021
Great quality,3,1/16/2023
Awful,2,10/31/2023
Great quality,5,1/20/2022
Versatile,2,3/31/2023
Awful,2,5/26/2023
Worth the buy,3,11/19/2023
Worth the buy,4,4/14/2021
Worth the buy,1,10/4/2021
Versatile,3,5/27/2022
Great value,5,5/30/2022
Poor quality,4,4/29/2021
Poor customer service,2,8/9/2021
Great quality,3,4/30/2022
Awful,3,3/16/2022
Versatile,1,8/20/2022
Highly recommend,2,9/17/2022
Worth the buy,4,8/30/2022
Great value,1,11/4/2021
Waste of Money,2,12/7/2023
Poor quality,4,4/22/2021
Great quality,5,6/9/2021
Worth the buy,1,7/7/2023
Waste of Money,4,10/6/2022
Love it!,5,10/17/2022
Great quality,4,10/5/2021
Poor quality,5,9/14/2021
Great value,1,7/22/2021
Worth the buy,3,9/20/2022
Awful,4,7/5/2022
Waste of Money,5,9/30/2022
Awful,2,5/30/2021
Poor quality,4,11/21/2023
Versatile,4,6/7/2023
Waste of Money,2,11/28/2022
Poor quality,4,4/8/2022
Awful,4,4/20/2021
Waste of Money,4,10/5/2022
Great quality,4,11/4/2022
Waste of Money,1,2/21/2022
Love it!,2,7/22/2022
Poor customer service,2,3/13/2022
Awful,1,11/19/2023
Great value,4,12/2/2021
Love it!,3,6/2/2021
Awful,1,10/21/2022
Great quality,5,2/27/2024
Versatile,5,5/28/2021
Waste of Money,1,9/13/2023
Love it!,1,1/6/2024
Waste of Money,1,6/29/2022
Love it!,4,12/2/2021
Love it!,3,5/6/2022
Highly recommend,3,9/11/2022
Poor quality,4,11/13/2023
Great value,2,5/1/2021
Highly recommend,4,6/3/2022
Love it!,3,3/29/2021
Worth the buy,1,4/19/2022
Poor quality,4,11/16/2022
Highly recommend,3,9/4/2023
Great value,4,11/30/2022
Poor customer service,2,4/17/2022
Great value,2,11/28/2023
Poor customer service,4,3/16/2023
Highly recommend,2,12/26/2022
Great value,1,6/27/2021
Versatile,4,6/25/2022
Worth the buy,1,11/2/2023
Poor customer service,2,12/22/2021
Versatile,5,7/27/2023
Great quality,1,10/2/2021
Love it!,3,9/13/2021
Worth the buy,2,4/3/2022
Awful,2,3/13/2023
Versatile,5,7/8/2023
Awful,5,2/21/2022
Love it!,4,10/15/2023
Great value,2,2/9/2022
Waste of Money,2,8/31/2022
Poor customer service,5,4/3/2023
Awful,1,11/16/2021
Poor quality,3,11/24/2023
Awful,2,4/23/2021
Waste of Money,4,12/5/2021
Great value,4,10/10/2021
Worth the buy,1,9/1/2021
Love it!,5,1/29/2024
Worth the buy,3,5/9/2022
Poor quality,3,5/16/2021
Poor customer service,4,3/15/2021
Poor customer service,3,10/21/2023
Awful,4,8/11/2023
Great value,1,4/17/2023
Great quality,5,2/27/2022
Great value,5,6/2/2022
Versatile,5,10/4/2022
Worth the buy,5,8/12/2023
Worth the buy,4,2/7/2023
Poor quality,4,6/2/2021
Worth the buy,2,2/23/2024
Poor quality,3,8/19/2023
Waste of Money,4,1/31/2023
Great value,2,7/30/2021
Great value,2,12/10/2022
Poor quality,5,3/17/2022
Great value,2,2/4/2021
Great quality,3,12/28/2023
Poor quality,1,5/24/2022
Poor quality,1,9/25/2022
Waste of Money,5,5/13/2023
Waste of Money,4,6/3/2021
Poor quality,3,11/2/2023
Awful,3,3/21/2021
Poor quality,1,5/23/2021
Love it!,3,8/24/2021
Love it!,4,12/30/2021
Great quality,4,8/12/2021
Waste of Money,2,8/10/2021
Versatile,5,6/29/2021
Worth the buy,4,4/4/2022
Awful,4,2/25/2024
Love it!,4,1/26/2023
Great value,4,1/14/2024
Love it!,4,10/27/2021
Highly recommend,2,8/29/2022
Great value,1,9/16/2022
Worth the buy,2,7/8/2022
Worth the buy,4,1/19/2024
Poor customer service,2,11/5/2022
Poor customer service,5,1/31/2022
Waste of Money,1,11/5/2021
Love it!,2,3/1/2022
